Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1964 [YR1964],1968 [YR1968],1972 [YR1972],1976 [YR1976],1980 [YR1980],1984 [YR1984],1988 [YR1988],1992 [YR1992],1996 [YR1996],2000 [YR2000],2004 [YR2004],2008 [YR2008],2012 [YR2012],2016 [YR2016],2020 [YR2020]
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,-2.14821228495553,1.6772791560615,8.27936899310519,-0.300121027406746,-5.38251464221077
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,1617.82647494969,1776.91820712187,2191.50435559062,2985.31914452845,2958.7853992308,2769.68574507111
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,813.550255990893,971.633503058856,1333.74726659751,1988.42930381554,2213.1814410479,2561.98176058622
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,1.41411799339429,3.92498381999467,12.7522870926697,2.26031420279821,-2.35110067203466
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,3521418059.92345,5224896718.67782,10109297047.5432,19907329777.5872,18116572395.0772,19955929052.1496
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,16377032684.0304,22892320780.3777,35321124704.8351,60766467131.1993,76798750471.4042,100094011602.726
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,-3.30749720231945,-3.26252233446822,-6.62255121235502,9.78017987930293,7.63002243937019,5.9565695961824,8.3281084229243,1.58487281451019,3.48029321671386,-2.75693978209092
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,3657.31197554002,5499.07592534684,6600.97843636016,8491.39827067066,11103.7701618508,12577.7555781943,13769.5464825027,14869.22002167
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,1823.15280841998,2979.8263588434,3861.30856837761,5427.79655580022,8228.13188671656,10525.7225348883,12078.3488244026,14511.4389162881
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,-1.25159664405811,-1.42003965566391,-7.18711091500037,9.09999943646361,6.94621659244254,5.51466791097914,7.50004143020151,1.4172427999078,3.31498068384137,-3.31371614712083
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,1578102105.26316,1857337995.338,2051236250,652174990.837304,3199640815.4163,3480355258.04122,7184685781.51876,12881352893.6855,12319834195.331,11861199830.8396,15241458744.8688
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,5919848271.89921,9440188239.08572,11927686423.0498,16429609078.8174,24250888303.5661,30528816165.9126,34738551132.213,41181272417.1494
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,4.12149478069479,8.30237960344564,24.525779768096,3.56112872678158,-2.29975786801904,2.05622585528499,-3.73441250470079,-0.649140042541546,2.08184989323905,2.35726434985169,3.05086148257989,0.652527944641818,0.379563284080547,1.78594064716746,-6.61247509796932
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,11241.4154174565,10808.8788665465,11558.2204692724,13226.7650480025,14206.7767146731,14697.5396133,15511.6858766657,14194.1557478261
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,7704.51644322124,8052.76856707946,9186.81590337785,11431.6856716154,13666.2181958374,14441.3293398806,13437.8460232169,12676.5130564294
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.83941300772857,10.7962385711022,27.423969480425,8.38675648442262,0.790606971852654,5.59999652938126,-1.00000549065851,1.80000230244057,4.0999984703933,3.80000000133003,4.50000000000001,2.5000000000001,2.40000000000005,3.89999999999995,-4.99999999999997
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2723615451.30098,2909316435.2874,3852147026.77302,6766743956.88889,17728240932.3158,42345829079.2062,53698548293.0745,59089396860.4342,48003133346.9957,46941554225.3581,54790398570.3282,91913680985.1708,180383848331.135,227143746075.934,180763839522.151,164873415325.201
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,205160240015.435,233796384129.835,283908375688.687,372996309555.57,475816185941.96,543660681589.814,548945698735.394,558300141593.952
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,0.68022053736145,-2.16041177422564,-3.62202258510453,-0.488137584297121,5.3517874262504
American Samoa,ASM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,0.409836065573771,-2.65734265734265,-4.33482810164425,-1.67938931297709,4.41176470588236
